номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 04:20:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-06-29 04:20:00,2575,-53
2025-06-29 04:25:00,2500,-53
2025-06-29 04:30:00,2590,-51
2025-06-29 04:35:00,2600,-37
2025-06-29 04:40:00,2600,-46
2025-06-29 04:45:00,2590,-65
2025-06-29 04:50:00,2545,-50
2025-06-29 04:55:00,2580,-57
2025-06-29 05:00:00,2590,-38
2025-06-29 05:05:00,2565,-35
2025-06-29 05:10:00,2565,-41
2025-06-29 05:15:00,2515,-75
2025-06-29 05:20:00,2530,-41
2025-06-29 05:25:00,2525,-44
2025-06-29 05:30:00,2530,-69
2025-06-29 05:35:00,2530,-54
2025-06-29 05:40:00,2535,-69
2025-06-29 05:45:00,2590,-53
2025-06-29 05:50:00,2600,-46
2025-06-29 05:55:00,2570,-42
2025-06-29 06:00:00,2520,-73
2025-06-29 06:05:00,2595,-40
2025-06-29 06:10:00,2530,-41
2025-06-29 06:15:00,2510,-35
