номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-01 23:40:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-07-01 23:40:00,2400,-42
2025-07-01 23:45:00,2475,-45
2025-07-01 23:50:00,2500,-48
2025-07-01 23:55:00,2475,-47
2025-07-02 00:00:00,2490,-46
2025-07-02 00:05:00,2500,-61
2025-07-02 00:10:00,2495,-59
2025-07-02 00:15:00,2480,-71
2025-07-02 00:20:00,2475,-43
2025-07-02 00:25:00,2420,-62
2025-07-02 00:30:00,2470,-75
2025-07-02 00:35:00,2485,-52
2025-07-02 00:40:00,2455,-48
2025-07-02 00:45:00,2405,-39
2025-07-02 00:50:00,2470,-45
2025-07-02 00:55:00,2475,-50
2025-07-02 01:00:00,2440,-52
2025-07-02 01:05:00,2475,-43
2025-07-02 01:10:00,2500,-57
2025-07-02 01:15:00,2445,-57
2025-07-02 01:20:00,2435,-69
2025-07-02 01:25:00,2440,-51
2025-07-02 01:30:00,2460,-35
2025-07-02 01:35:00,2400,-62
