номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-03 02:20:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-07-03 02:20:00,2590,-45
2025-07-03 02:25:00,2560,-69
2025-07-03 02:30:00,2525,-58
2025-07-03 02:35:00,2520,-61
2025-07-03 02:40:00,2540,-36
2025-07-03 02:45:00,2580,-72
2025-07-03 02:50:00,2595,-64
2025-07-03 02:55:00,2580,-45
2025-07-03 03:00:00,2560,-50
2025-07-03 03:05:00,2570,-66
2025-07-03 03:10:00,2525,-42
2025-07-03 03:15:00,2530,-36
2025-07-03 03:20:00,2585,-40
2025-07-03 03:25:00,2545,-59
2025-07-03 03:30:00,2540,-45
2025-07-03 03:35:00,2575,-72
2025-07-03 03:40:00,2600,-43
2025-07-03 03:45:00,2540,-36
2025-07-03 03:50:00,2555,-45
2025-07-03 03:55:00,2575,-51
2025-07-03 04:00:00,2530,-72
2025-07-03 04:05:00,2530,-41
2025-07-03 04:10:00,2560,-52
2025-07-03 04:15:00,2530,-39
