номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 19:00:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-29 19:00:00,2630,-58
2025-06-29 19:05:00,2605,-57
2025-06-29 19:10:00,2625,-47
2025-06-29 19:15:00,2680,-52
2025-06-29 19:20:00,2670,-73
2025-06-29 19:25:00,2630,-43
2025-06-29 19:30:00,2630,-45
2025-06-29 19:35:00,2680,-52
2025-06-29 19:40:00,2600,-70
2025-06-29 19:45:00,2640,-41
2025-06-29 19:50:00,2670,-48
2025-06-29 19:55:00,2635,-48
2025-06-29 20:00:00,2680,-70
2025-06-29 20:05:00,2690,-61
2025-06-29 20:10:00,2645,-48
2025-06-29 20:15:00,2605,-74
2025-06-29 20:20:00,2675,-38
2025-06-29 20:25:00,2600,-69
2025-06-29 20:30:00,2670,-56
2025-06-29 20:35:00,2665,-63
2025-06-29 20:40:00,2615,-58
2025-06-29 20:45:00,2690,-61
2025-06-29 20:50:00,2690,-61
2025-06-29 20:55:00,2680,-60
