номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-26 12:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-26 12:40:00,2620,-36
2025-06-26 12:45:00,2630,-56
2025-06-26 12:50:00,2695,-58
2025-06-26 12:55:00,2660,-44
2025-06-26 13:00:00,2695,-60
2025-06-26 13:05:00,2610,-37
2025-06-26 13:10:00,2670,-52
2025-06-26 13:15:00,2635,-54
2025-06-26 13:20:00,2655,-41
2025-06-26 13:25:00,2660,-55
2025-06-26 13:30:00,2670,-69
2025-06-26 13:35:00,2660,-67
2025-06-26 13:40:00,2635,-54
2025-06-26 13:45:00,2610,-62
2025-06-26 13:50:00,2610,-56
2025-06-26 13:55:00,2650,-59
2025-06-26 14:00:00,2675,-68
2025-06-26 14:05:00,2655,-57
2025-06-26 14:10:00,2655,-35
2025-06-26 14:15:00,2690,-74
2025-06-26 14:20:00,2640,-73
2025-06-26 14:25:00,2700,-40
2025-06-26 14:30:00,2605,-36
2025-06-26 14:35:00,2690,-62
