номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-30 17:40:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-30 17:40:00,2445,-48
2025-06-30 17:45:00,2425,-54
2025-06-30 17:50:00,2465,-60
2025-06-30 17:55:00,2415,-64
2025-06-30 18:00:00,2400,-42
2025-06-30 18:05:00,2440,-70
2025-06-30 18:10:00,2410,-39
2025-06-30 18:15:00,2445,-38
2025-06-30 18:20:00,2495,-40
2025-06-30 18:25:00,2470,-66
2025-06-30 18:30:00,2430,-66
2025-06-30 18:35:00,2480,-58
2025-06-30 18:40:00,2450,-59
2025-06-30 18:45:00,2460,-40
2025-06-30 18:50:00,2405,-52
2025-06-30 18:55:00,2480,-61
2025-06-30 19:00:00,2480,-59
2025-06-30 19:05:00,2410,-57
2025-06-30 19:10:00,2435,-73
2025-06-30 19:15:00,2450,-60
2025-06-30 19:20:00,2415,-67
2025-06-30 19:25:00,2490,-45
2025-06-30 19:30:00,2480,-56
2025-06-30 19:35:00,2465,-35
