номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-25 16:30:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-25 16:30:00,2665,-40
2025-06-25 16:35:00,2685,-62
2025-06-25 16:40:00,2670,-37
2025-06-25 16:45:00,2620,-59
2025-06-25 16:50:00,2620,-35
2025-06-25 16:55:00,2655,-47
2025-06-25 17:00:00,2680,-42
2025-06-25 17:05:00,2660,-69
2025-06-25 17:10:00,2680,-69
2025-06-25 17:15:00,2600,-44
2025-06-25 17:20:00,2625,-63
2025-06-25 17:25:00,2675,-65
2025-06-25 17:30:00,2665,-71
2025-06-25 17:35:00,2645,-44
2025-06-25 17:40:00,2650,-39
2025-06-25 17:45:00,2685,-38
2025-06-25 17:50:00,2665,-63
2025-06-25 17:55:00,2640,-35
2025-06-25 18:00:00,2685,-60
2025-06-25 18:05:00,2690,-71
2025-06-25 18:10:00,2630,-71
2025-06-25 18:15:00,2610,-50
2025-06-25 18:20:00,2665,-49
2025-06-25 18:25:00,2685,-62
