номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-27 02:10:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-27 02:10:00,2685,-62
2025-06-27 02:15:00,2605,-60
2025-06-27 02:20:00,2685,-65
2025-06-27 02:25:00,2600,-50
2025-06-27 02:30:00,2660,-42
2025-06-27 02:35:00,2610,-62
2025-06-27 02:40:00,2645,-43
2025-06-27 02:45:00,2660,-70
2025-06-27 02:50:00,2665,-40
2025-06-27 02:55:00,2690,-65
2025-06-27 03:00:00,2685,-37
2025-06-27 03:05:00,2695,-60
2025-06-27 03:10:00,2605,-67
2025-06-27 03:15:00,2630,-51
2025-06-27 03:20:00,2630,-74
2025-06-27 03:25:00,2670,-72
2025-06-27 03:30:00,2630,-65
2025-06-27 03:35:00,2665,-70
2025-06-27 03:40:00,2675,-46
2025-06-27 03:45:00,2645,-68
2025-06-27 03:50:00,2695,-71
2025-06-27 03:55:00,2630,-56
2025-06-27 04:00:00,2700,-72
2025-06-27 04:05:00,2665,-75
