номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-03 18:00:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-07-03 18:00:00,2430,-60
2025-07-03 18:05:00,2430,-73
2025-07-03 18:10:00,2430,-64
2025-07-03 18:15:00,2455,-37
2025-07-03 18:20:00,2475,-64
2025-07-03 18:25:00,2425,-56
2025-07-03 18:30:00,2410,-74
2025-07-03 18:35:00,2480,-52
2025-07-03 18:40:00,2500,-38
2025-07-03 18:45:00,2400,-48
2025-07-03 18:50:00,2450,-38
2025-07-03 18:55:00,2400,-44
2025-07-03 19:00:00,2485,-41
2025-07-03 19:05:00,2405,-36
2025-07-03 19:10:00,2500,-39
2025-07-03 19:15:00,2485,-59
2025-07-03 19:20:00,2475,-45
2025-07-03 19:25:00,2400,-43
2025-07-03 19:30:00,2435,-61
2025-07-03 19:35:00,2400,-55
2025-07-03 19:40:00,2455,-62
2025-07-03 19:45:00,2435,-57
2025-07-03 19:50:00,2430,-65
2025-07-03 19:55:00,2465,-49
