номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-28 14:10:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-28 14:10:00,2420,-37
2025-06-28 14:15:00,2440,-39
2025-06-28 14:20:00,2495,-70
2025-06-28 14:25:00,2490,-54
2025-06-28 14:30:00,2465,-50
2025-06-28 14:35:00,2495,-56
2025-06-28 14:40:00,2445,-36
2025-06-28 14:45:00,2455,-44
2025-06-28 14:50:00,2450,-71
2025-06-28 14:55:00,2445,-50
2025-06-28 15:00:00,2420,-57
2025-06-28 15:05:00,2425,-55
2025-06-28 15:10:00,2480,-40
2025-06-28 15:15:00,2420,-35
2025-06-28 15:20:00,2445,-59
2025-06-28 15:25:00,2450,-60
2025-06-28 15:30:00,2445,-44
2025-06-28 15:35:00,2450,-58
2025-06-28 15:40:00,2450,-57
2025-06-28 15:45:00,2455,-73
2025-06-28 15:50:00,2470,-71
2025-06-28 15:55:00,2405,-70
2025-06-28 16:00:00,2460,-46
2025-06-28 16:05:00,2415,-59
