номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-01 23:40:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-07-01 23:40:00,2510,-41
2025-07-01 23:45:00,2535,-42
2025-07-01 23:50:00,2560,-63
2025-07-01 23:55:00,2555,-54
2025-07-02 00:00:00,2555,-61
2025-07-02 00:05:00,2565,-49
2025-07-02 00:10:00,2535,-51
2025-07-02 00:15:00,2550,-48
2025-07-02 00:20:00,2525,-73
2025-07-02 00:25:00,2585,-69
2025-07-02 00:30:00,2520,-67
2025-07-02 00:35:00,2530,-54
2025-07-02 00:40:00,2510,-64
2025-07-02 00:45:00,2500,-55
2025-07-02 00:50:00,2585,-46
2025-07-02 00:55:00,2600,-57
2025-07-02 01:00:00,2565,-51
2025-07-02 01:05:00,2505,-55
2025-07-02 01:10:00,2570,-47
2025-07-02 01:15:00,2575,-49
2025-07-02 01:20:00,2585,-54
2025-07-02 01:25:00,2565,-55
2025-07-02 01:30:00,2560,-55
2025-07-02 01:35:00,2555,-36
