номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-01 02:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-07-01 02:40:00,2600,-40
2025-07-01 02:45:00,2700,-71
2025-07-01 02:50:00,2630,-52
2025-07-01 02:55:00,2600,-40
2025-07-01 03:00:00,2700,-38
2025-07-01 03:05:00,2700,-44
2025-07-01 03:10:00,2625,-53
2025-07-01 03:15:00,2655,-55
2025-07-01 03:20:00,2650,-46
2025-07-01 03:25:00,2600,-39
2025-07-01 03:30:00,2670,-63
2025-07-01 03:35:00,2675,-40
2025-07-01 03:40:00,2645,-50
2025-07-01 03:45:00,2610,-75
2025-07-01 03:50:00,2670,-51
2025-07-01 03:55:00,2680,-36
2025-07-01 04:00:00,2665,-65
2025-07-01 04:05:00,2625,-57
2025-07-01 04:10:00,2645,-37
2025-07-01 04:15:00,2620,-52
2025-07-01 04:20:00,2620,-37
2025-07-01 04:25:00,2680,-66
2025-07-01 04:30:00,2625,-53
2025-07-01 04:35:00,2680,-42
