номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-26 12:20:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-26 12:20:00,2680,-64
2025-06-26 12:25:00,2605,-57
2025-06-26 12:30:00,2600,-35
2025-06-26 12:35:00,2665,-59
2025-06-26 12:40:00,2635,-72
2025-06-26 12:45:00,2670,-37
2025-06-26 12:50:00,2685,-39
2025-06-26 12:55:00,2680,-65
2025-06-26 13:00:00,2600,-40
2025-06-26 13:05:00,2700,-53
2025-06-26 13:10:00,2695,-69
2025-06-26 13:15:00,2690,-48
2025-06-26 13:20:00,2645,-50
2025-06-26 13:25:00,2695,-37
2025-06-26 13:30:00,2645,-58
2025-06-26 13:35:00,2670,-39
2025-06-26 13:40:00,2635,-56
2025-06-26 13:45:00,2680,-53
2025-06-26 13:50:00,2600,-66
2025-06-26 13:55:00,2655,-51
2025-06-26 14:00:00,2690,-73
2025-06-26 14:05:00,2625,-39
2025-06-26 14:10:00,2680,-41
2025-06-26 14:15:00,2620,-41
