номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-04 01:20:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-07-04 01:20:00,2610,-66
2025-07-04 01:25:00,2670,-58
2025-07-04 01:30:00,2610,-52
2025-07-04 01:35:00,2680,-59
2025-07-04 01:40:00,2615,-40
2025-07-04 01:45:00,2645,-38
2025-07-04 01:50:00,2695,-68
2025-07-04 01:55:00,2610,-68
2025-07-04 02:00:00,2670,-44
2025-07-04 02:05:00,2655,-35
2025-07-04 02:10:00,2650,-38
2025-07-04 02:15:00,2695,-47
2025-07-04 02:20:00,2660,-74
2025-07-04 02:25:00,2695,-62
2025-07-04 02:30:00,2635,-51
2025-07-04 02:35:00,2645,-36
2025-07-04 02:40:00,2655,-58
2025-07-04 02:45:00,2680,-55
2025-07-04 02:50:00,2620,-70
2025-07-04 02:55:00,2665,-52
2025-07-04 03:00:00,2655,-37
2025-07-04 03:05:00,2660,-75
2025-07-04 03:10:00,2625,-65
2025-07-04 03:15:00,2695,-58
