номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-27 21:40:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-06-27 21:40:00,2595,-39
2025-06-27 21:45:00,2595,-63
2025-06-27 21:50:00,2595,-58
2025-06-27 21:55:00,2585,-45
2025-06-27 22:00:00,2510,-58
2025-06-27 22:05:00,2565,-61
2025-06-27 22:10:00,2525,-64
2025-06-27 22:15:00,2515,-43
2025-06-27 22:20:00,2545,-55
2025-06-27 22:25:00,2540,-52
2025-06-27 22:30:00,2535,-41
2025-06-27 22:35:00,2600,-45
2025-06-27 22:40:00,2600,-43
2025-06-27 22:45:00,2575,-42
2025-06-27 22:50:00,2590,-60
2025-06-27 22:55:00,2570,-57
2025-06-27 23:00:00,2545,-75
2025-06-27 23:05:00,2540,-54
2025-06-27 23:10:00,2590,-61
2025-06-27 23:15:00,2570,-62
2025-06-27 23:20:00,2565,-38
2025-06-27 23:25:00,2565,-58
2025-06-27 23:30:00,2525,-55
2025-06-27 23:35:00,2570,-40
