номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-30 09:00:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-30 09:00:00,2490,-41
2025-06-30 09:05:00,2495,-52
2025-06-30 09:10:00,2425,-63
2025-06-30 09:15:00,2490,-72
2025-06-30 09:20:00,2445,-53
2025-06-30 09:25:00,2465,-53
2025-06-30 09:30:00,2460,-56
2025-06-30 09:35:00,2445,-61
2025-06-30 09:40:00,2455,-40
2025-06-30 09:45:00,2495,-53
2025-06-30 09:50:00,2500,-73
2025-06-30 09:55:00,2415,-40
2025-06-30 10:00:00,2470,-53
2025-06-30 10:05:00,2495,-47
2025-06-30 10:10:00,2475,-35
2025-06-30 10:15:00,2455,-50
2025-06-30 10:20:00,2400,-40
2025-06-30 10:25:00,2480,-59
2025-06-30 10:30:00,2465,-62
2025-06-30 10:35:00,2425,-54
2025-06-30 10:40:00,2475,-73
2025-06-30 10:45:00,2425,-62
2025-06-30 10:50:00,2445,-75
2025-06-30 10:55:00,2470,-36
