номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-27 17:00:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-27 17:00:00,2655,-61
2025-06-27 17:05:00,2600,-70
2025-06-27 17:10:00,2635,-43
2025-06-27 17:15:00,2625,-53
2025-06-27 17:20:00,2600,-52
2025-06-27 17:25:00,2690,-53
2025-06-27 17:30:00,2635,-70
2025-06-27 17:35:00,2600,-70
2025-06-27 17:40:00,2655,-49
2025-06-27 17:45:00,2605,-72
2025-06-27 17:50:00,2620,-72
2025-06-27 17:55:00,2630,-44
2025-06-27 18:00:00,2670,-43
2025-06-27 18:05:00,2605,-40
2025-06-27 18:10:00,2635,-37
2025-06-27 18:15:00,2685,-61
2025-06-27 18:20:00,2670,-46
2025-06-27 18:25:00,2655,-63
2025-06-27 18:30:00,2655,-49
2025-06-27 18:35:00,2625,-73
2025-06-27 18:40:00,2690,-58
2025-06-27 18:45:00,2690,-44
2025-06-27 18:50:00,2630,-39
2025-06-27 18:55:00,2600,-49
