номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 02:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-29 02:40:00,2660,-58
2025-06-29 02:45:00,2615,-45
2025-06-29 02:50:00,2645,-63
2025-06-29 02:55:00,2675,-40
2025-06-29 03:00:00,2615,-42
2025-06-29 03:05:00,2610,-67
2025-06-29 03:10:00,2680,-69
2025-06-29 03:15:00,2625,-53
2025-06-29 03:20:00,2615,-48
2025-06-29 03:25:00,2610,-68
2025-06-29 03:30:00,2680,-51
2025-06-29 03:35:00,2640,-47
2025-06-29 03:40:00,2685,-49
2025-06-29 03:45:00,2635,-45
2025-06-29 03:50:00,2685,-49
2025-06-29 03:55:00,2625,-35
2025-06-29 04:00:00,2675,-52
2025-06-29 04:05:00,2660,-70
2025-06-29 04:10:00,2675,-69
2025-06-29 04:15:00,2695,-46
2025-06-29 04:20:00,2650,-52
2025-06-29 04:25:00,2675,-46
2025-06-29 04:30:00,2600,-44
2025-06-29 04:35:00,2690,-68
