номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-02 02:50:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-07-02 02:50:00,2575,-70
2025-07-02 02:55:00,2560,-60
2025-07-02 03:00:00,2540,-47
2025-07-02 03:05:00,2535,-50
2025-07-02 03:10:00,2530,-49
2025-07-02 03:15:00,2550,-56
2025-07-02 03:20:00,2520,-51
2025-07-02 03:25:00,2515,-46
2025-07-02 03:30:00,2580,-43
2025-07-02 03:35:00,2525,-41
2025-07-02 03:40:00,2590,-67
2025-07-02 03:45:00,2530,-37
2025-07-02 03:50:00,2555,-55
2025-07-02 03:55:00,2590,-53
2025-07-02 04:00:00,2560,-58
2025-07-02 04:05:00,2515,-39
2025-07-02 04:10:00,2500,-54
2025-07-02 04:15:00,2525,-64
2025-07-02 04:20:00,2570,-45
2025-07-02 04:25:00,2545,-65
2025-07-02 04:30:00,2510,-47
2025-07-02 04:35:00,2595,-70
2025-07-02 04:40:00,2545,-41
2025-07-02 04:45:00,2580,-43
