номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-30 12:20:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-30 12:20:00,2465,-47
2025-06-30 12:25:00,2485,-43
2025-06-30 12:30:00,2400,-43
2025-06-30 12:35:00,2495,-64
2025-06-30 12:40:00,2415,-54
2025-06-30 12:45:00,2495,-62
2025-06-30 12:50:00,2470,-35
2025-06-30 12:55:00,2440,-47
2025-06-30 13:00:00,2480,-75
2025-06-30 13:05:00,2425,-51
2025-06-30 13:10:00,2420,-70
2025-06-30 13:15:00,2475,-36
2025-06-30 13:20:00,2430,-71
2025-06-30 13:25:00,2410,-42
2025-06-30 13:30:00,2480,-50
2025-06-30 13:35:00,2500,-58
2025-06-30 13:40:00,2485,-38
2025-06-30 13:45:00,2450,-38
2025-06-30 13:50:00,2455,-55
2025-06-30 13:55:00,2500,-70
2025-06-30 14:00:00,2475,-65
2025-06-30 14:05:00,2450,-65
2025-06-30 14:10:00,2435,-73
2025-06-30 14:15:00,2440,-63
