номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 12:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-29 12:40:00,2700,-68
2025-06-29 12:45:00,2600,-39
2025-06-29 12:50:00,2665,-36
2025-06-29 12:55:00,2615,-50
2025-06-29 13:00:00,2650,-40
2025-06-29 13:05:00,2645,-68
2025-06-29 13:10:00,2675,-68
2025-06-29 13:15:00,2690,-36
2025-06-29 13:20:00,2610,-37
2025-06-29 13:25:00,2690,-35
2025-06-29 13:30:00,2680,-42
2025-06-29 13:35:00,2675,-51
2025-06-29 13:40:00,2630,-45
2025-06-29 13:45:00,2605,-48
2025-06-29 13:50:00,2680,-57
2025-06-29 13:55:00,2665,-63
2025-06-29 14:00:00,2610,-63
2025-06-29 14:05:00,2605,-41
2025-06-29 14:10:00,2625,-41
2025-06-29 14:15:00,2695,-61
2025-06-29 14:20:00,2620,-46
2025-06-29 14:25:00,2615,-74
2025-06-29 14:30:00,2665,-57
2025-06-29 14:35:00,2630,-66
