номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-01 10:20:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-07-01 10:20:00,2675,-60
2025-07-01 10:25:00,2600,-56
2025-07-01 10:30:00,2655,-63
2025-07-01 10:35:00,2610,-39
2025-07-01 10:40:00,2630,-60
2025-07-01 10:45:00,2675,-51
2025-07-01 10:50:00,2660,-56
2025-07-01 10:55:00,2670,-63
2025-07-01 11:00:00,2695,-45
2025-07-01 11:05:00,2690,-37
2025-07-01 11:10:00,2605,-72
2025-07-01 11:15:00,2620,-52
2025-07-01 11:20:00,2620,-69
2025-07-01 11:25:00,2680,-63
2025-07-01 11:30:00,2605,-44
2025-07-01 11:35:00,2670,-45
2025-07-01 11:40:00,2610,-60
2025-07-01 11:45:00,2675,-40
2025-07-01 11:50:00,2695,-55
2025-07-01 11:55:00,2640,-44
2025-07-01 12:00:00,2675,-38
2025-07-01 12:05:00,2655,-46
2025-07-01 12:10:00,2640,-57
2025-07-01 12:15:00,2685,-54
