номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-30 06:20:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-30 06:20:00,2485,-57
2025-06-30 06:25:00,2465,-36
2025-06-30 06:30:00,2460,-74
2025-06-30 06:35:00,2500,-55
2025-06-30 06:40:00,2445,-40
2025-06-30 06:45:00,2420,-39
2025-06-30 06:50:00,2420,-42
2025-06-30 06:55:00,2445,-72
2025-06-30 07:00:00,2415,-61
2025-06-30 07:05:00,2410,-42
2025-06-30 07:10:00,2500,-40
2025-06-30 07:15:00,2405,-44
2025-06-30 07:20:00,2440,-63
2025-06-30 07:25:00,2500,-57
2025-06-30 07:30:00,2440,-49
2025-06-30 07:35:00,2405,-74
2025-06-30 07:40:00,2440,-36
2025-06-30 07:45:00,2410,-50
2025-06-30 07:50:00,2470,-43
2025-06-30 07:55:00,2420,-75
2025-06-30 08:00:00,2425,-45
2025-06-30 08:05:00,2475,-65
2025-06-30 08:10:00,2415,-42
2025-06-30 08:15:00,2450,-67
