номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-25 10:30:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-25 10:30:00,2490,-62
2025-06-25 10:35:00,2425,-39
2025-06-25 10:40:00,2475,-39
2025-06-25 10:45:00,2480,-72
2025-06-25 10:50:00,2440,-73
2025-06-25 10:55:00,2495,-68
2025-06-25 11:00:00,2500,-68
2025-06-25 11:05:00,2400,-59
2025-06-25 11:10:00,2410,-51
2025-06-25 11:15:00,2480,-42
2025-06-25 11:20:00,2470,-61
2025-06-25 11:25:00,2430,-73
2025-06-25 11:30:00,2500,-55
2025-06-25 11:35:00,2465,-47
2025-06-25 11:40:00,2485,-40
2025-06-25 11:45:00,2400,-58
2025-06-25 11:50:00,2425,-44
2025-06-25 11:55:00,2490,-58
2025-06-25 12:00:00,2455,-51
2025-06-25 12:05:00,2460,-35
2025-06-25 12:10:00,2415,-42
2025-06-25 12:15:00,2400,-53
2025-06-25 12:20:00,2475,-73
2025-06-25 12:25:00,2460,-39
