номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-02 13:00:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-07-02 13:00:00,2700,-50
2025-07-02 13:05:00,2650,-54
2025-07-02 13:10:00,2685,-70
2025-07-02 13:15:00,2680,-62
2025-07-02 13:20:00,2610,-58
2025-07-02 13:25:00,2660,-35
2025-07-02 13:30:00,2695,-62
2025-07-02 13:35:00,2675,-73
2025-07-02 13:40:00,2600,-35
2025-07-02 13:45:00,2615,-41
2025-07-02 13:50:00,2685,-72
2025-07-02 13:55:00,2600,-53
2025-07-02 14:00:00,2680,-56
2025-07-02 14:05:00,2615,-47
2025-07-02 14:10:00,2700,-46
2025-07-02 14:15:00,2635,-49
2025-07-02 14:20:00,2655,-48
2025-07-02 14:25:00,2680,-51
2025-07-02 14:30:00,2685,-70
2025-07-02 14:35:00,2660,-60
2025-07-02 14:40:00,2660,-61
2025-07-02 14:45:00,2665,-44
2025-07-02 14:50:00,2600,-45
2025-07-02 14:55:00,2615,-72
