номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 05:10:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-29 05:10:00,2650,-71
2025-06-29 05:15:00,2670,-52
2025-06-29 05:20:00,2600,-38
2025-06-29 05:25:00,2665,-69
2025-06-29 05:30:00,2685,-70
2025-06-29 05:35:00,2655,-75
2025-06-29 05:40:00,2680,-52
2025-06-29 05:45:00,2630,-40
2025-06-29 05:50:00,2600,-45
2025-06-29 05:55:00,2605,-63
2025-06-29 06:00:00,2600,-72
2025-06-29 06:05:00,2615,-72
2025-06-29 06:10:00,2610,-40
2025-06-29 06:15:00,2690,-71
2025-06-29 06:20:00,2620,-66
2025-06-29 06:25:00,2680,-75
2025-06-29 06:30:00,2695,-50
2025-06-29 06:35:00,2680,-53
2025-06-29 06:40:00,2630,-50
2025-06-29 06:45:00,2625,-47
2025-06-29 06:50:00,2650,-43
2025-06-29 06:55:00,2665,-66
2025-06-29 07:00:00,2680,-53
2025-06-29 07:05:00,2630,-37
