номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-25 13:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-25 13:40:00,2645,-66
2025-06-25 13:45:00,2655,-44
2025-06-25 13:50:00,2605,-37
2025-06-25 13:55:00,2690,-36
2025-06-25 14:00:00,2640,-65
2025-06-25 14:05:00,2600,-63
2025-06-25 14:10:00,2620,-54
2025-06-25 14:15:00,2635,-37
2025-06-25 14:20:00,2655,-40
2025-06-25 14:25:00,2620,-64
2025-06-25 14:30:00,2670,-53
2025-06-25 14:35:00,2700,-56
2025-06-25 14:40:00,2690,-37
2025-06-25 14:45:00,2635,-67
2025-06-25 14:50:00,2610,-40
2025-06-25 14:55:00,2695,-55
2025-06-25 15:00:00,2640,-58
2025-06-25 15:05:00,2690,-51
2025-06-25 15:10:00,2680,-71
2025-06-25 15:15:00,2670,-52
2025-06-25 15:20:00,2675,-61
2025-06-25 15:25:00,2605,-53
2025-06-25 15:30:00,2695,-52
2025-06-25 15:35:00,2695,-60
