номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 00:00:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-06-29 00:00:00,2510,-64
2025-06-29 00:05:00,2565,-48
2025-06-29 00:10:00,2520,-40
2025-06-29 00:15:00,2570,-69
2025-06-29 00:20:00,2500,-44
2025-06-29 00:25:00,2570,-47
2025-06-29 00:30:00,2595,-51
2025-06-29 00:35:00,2585,-70
2025-06-29 00:40:00,2500,-36
2025-06-29 00:45:00,2540,-35
2025-06-29 00:50:00,2530,-36
2025-06-29 00:55:00,2540,-57
2025-06-29 01:00:00,2540,-65
2025-06-29 01:05:00,2540,-35
2025-06-29 01:10:00,2540,-65
2025-06-29 01:15:00,2505,-70
2025-06-29 01:20:00,2550,-42
2025-06-29 01:25:00,2580,-45
2025-06-29 01:30:00,2550,-44
2025-06-29 01:35:00,2550,-58
2025-06-29 01:40:00,2500,-75
2025-06-29 01:45:00,2565,-71
2025-06-29 01:50:00,2560,-72
2025-06-29 01:55:00,2510,-50
