номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-27 20:00:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-27 20:00:00,2645,-43
2025-06-27 20:05:00,2695,-44
2025-06-27 20:10:00,2645,-63
2025-06-27 20:15:00,2600,-46
2025-06-27 20:20:00,2665,-55
2025-06-27 20:25:00,2650,-74
2025-06-27 20:30:00,2650,-67
2025-06-27 20:35:00,2650,-63
2025-06-27 20:40:00,2625,-74
2025-06-27 20:45:00,2670,-61
2025-06-27 20:50:00,2635,-50
2025-06-27 20:55:00,2600,-56
2025-06-27 21:00:00,2610,-64
2025-06-27 21:05:00,2695,-53
2025-06-27 21:10:00,2635,-47
2025-06-27 21:15:00,2640,-67
2025-06-27 21:20:00,2680,-43
2025-06-27 21:25:00,2635,-48
2025-06-27 21:30:00,2600,-36
2025-06-27 21:35:00,2685,-62
2025-06-27 21:40:00,2625,-43
2025-06-27 21:45:00,2685,-43
2025-06-27 21:50:00,2625,-46
2025-06-27 21:55:00,2660,-61
