номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-02 23:10:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-07-02 23:10:00,2400,-52
2025-07-02 23:15:00,2415,-35
2025-07-02 23:20:00,2410,-40
2025-07-02 23:25:00,2490,-45
2025-07-02 23:30:00,2500,-54
2025-07-02 23:35:00,2425,-35
2025-07-02 23:40:00,2495,-51
2025-07-02 23:45:00,2415,-69
2025-07-02 23:50:00,2455,-53
2025-07-02 23:55:00,2405,-61
2025-07-03 00:00:00,2405,-64
2025-07-03 00:05:00,2465,-74
2025-07-03 00:10:00,2500,-73
2025-07-03 00:15:00,2435,-60
2025-07-03 00:20:00,2405,-48
2025-07-03 00:25:00,2450,-51
2025-07-03 00:30:00,2400,-46
2025-07-03 00:35:00,2445,-48
2025-07-03 00:40:00,2455,-50
2025-07-03 00:45:00,2460,-48
2025-07-03 00:50:00,2445,-46
2025-07-03 00:55:00,2495,-72
2025-07-03 01:00:00,2415,-59
2025-07-03 01:05:00,2470,-60
