номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-29 10:40:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-29 10:40:00,2655,-36
2025-06-29 10:45:00,2635,-67
2025-06-29 10:50:00,2650,-69
2025-06-29 10:55:00,2615,-57
2025-06-29 11:00:00,2690,-35
2025-06-29 11:05:00,2665,-50
2025-06-29 11:10:00,2605,-52
2025-06-29 11:15:00,2700,-47
2025-06-29 11:20:00,2700,-50
2025-06-29 11:25:00,2610,-60
2025-06-29 11:30:00,2700,-49
2025-06-29 11:35:00,2700,-66
2025-06-29 11:40:00,2630,-35
2025-06-29 11:45:00,2605,-67
2025-06-29 11:50:00,2685,-65
2025-06-29 11:55:00,2700,-65
2025-06-29 12:00:00,2605,-68
2025-06-29 12:05:00,2695,-41
2025-06-29 12:10:00,2685,-72
2025-06-29 12:15:00,2605,-67
2025-06-29 12:20:00,2650,-73
2025-06-29 12:25:00,2695,-45
2025-06-29 12:30:00,2605,-61
2025-06-29 12:35:00,2605,-40
