номер поста,202
частота анализа,2500 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-07-02 13:10:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-07-02 13:10:00,2525,-47
2025-07-02 13:15:00,2505,-36
2025-07-02 13:20:00,2565,-75
2025-07-02 13:25:00,2600,-43
2025-07-02 13:30:00,2535,-64
2025-07-02 13:35:00,2540,-55
2025-07-02 13:40:00,2595,-72
2025-07-02 13:45:00,2525,-35
2025-07-02 13:50:00,2550,-71
2025-07-02 13:55:00,2595,-70
2025-07-02 14:00:00,2585,-72
2025-07-02 14:05:00,2535,-45
2025-07-02 14:10:00,2520,-58
2025-07-02 14:15:00,2515,-75
2025-07-02 14:20:00,2550,-52
2025-07-02 14:25:00,2510,-36
2025-07-02 14:30:00,2500,-74
2025-07-02 14:35:00,2540,-50
2025-07-02 14:40:00,2580,-65
2025-07-02 14:45:00,2580,-48
2025-07-02 14:50:00,2535,-42
2025-07-02 14:55:00,2575,-35
2025-07-02 15:00:00,2540,-59
2025-07-02 15:05:00,2555,-71
