номер поста,202
частота анализа,5800 МГц
полоса анализа,40 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-25 08:00:00

Результаты анализа поста 202
Время,Частота,Мощность
2025-06-25 08:10:00,5810, -40
2025-06-25 08:10:00,5820, -42
2025-06-25 08:20:00,5810, -39
2025-06-25 08:20:00,5830, -44
2025-06-25 08:20:00,5840, -46
2025-06-25 08:30:00,5850, -41
2025-06-25 08:40:00,5810, -38
2025-06-25 08:40:00,5860, -43
2025-06-25 08:50:00,5870, -45
2025-06-25 09:00:00,5810, -40
2025-06-25 09:00:00,5880, -47
